title,commentCount,dislikeCount,likeCount,music_style,performer,viewCount,commentators_uniq,date
"""#2Маши ""Свободные линии""",34.0,43.0,1402.0,popsa,2маши,214301.0,24.0,2016-01-29
"""ALARM"" СЕРГЕЙ ЛАЗАРЕВ ( SERGEY LAZAREV )",,690.0,10532.0,popsa,лазарев,2221419.0,,2010-05-24
"""EARTH SONG""  SERGEY LAZAREV. DEDICATED TO MICHAEL JACKSON ( Cover version)",26.0,10.0,269.0,popsa,лазарев,40327.0,23.0,2009-06-29
"""Earth song"" премия МУЗ-тВ 2010 (LIVE)",12.0,7.0,163.0,popsa,лазарев,11907.0,11.0,2010-06-21
"""FAKE"" СЕРГЕЙ ЛАЗАРЕВ (SERGEY)",46.0,19.0,597.0,popsa,лазарев,91483.0,33.0,2009-12-31
"""Feelin High"" Сергей Лазарев Sergey Lazarev live",7.0,7.0,87.0,popsa,лазарев,9217.0,6.0,2010-07-01
"""Girlfriend"" Сергей Лазарев (SERGEY)",88.0,69.0,1566.0,popsa,лазарев,449891.0,63.0,2008-03-19
"""Heartbeat"" Сергей Лазарев (Sergey Lazarev)",168.0,101.0,4091.0,popsa,лазарев,763611.0,130.0,2011-02-17
"""Hey Tovarish"" Video Shooting",10.0,1.0,34.0,rock,мумий_тролль,3815.0,9.0,2012-04-01
"""LAZERBOY"" Сергей Лазарев (SERGEY) feat. TИМАТИ (Timati)",422.0,229.0,4137.0,popsa,лазарев,629212.0,223.0,2008-11-22
"""LAZERBOY""( Michael Yousher videoremix) Сергей Лазарев (SERGEY) и ТИМАТИ",5.0,4.0,141.0,popsa,лазарев,35902.0,5.0,2009-04-28
"""Lost without your love"" Сергей Лазарев (SERGEY)",189.0,102.0,2599.0,popsa,лазарев,582159.0,119.0,2010-02-22
"""Love Radio"": Съемки клипа НЮШИ ""Наедине""",25.0,14.0,283.0,popsa,нюша,58496.0,24.0,2013-04-10
"""Ru Music"": НЮША сняла новый клип!",12.0,4.0,87.0,popsa,нюша,14780.0,9.0,2013-03-26
"""Ru Новости"": НЮША чудом вернулась в Москву!",5.0,5.0,49.0,popsa,нюша,4625.0,5.0,2013-03-27
"""SOS Матросу!"" - тизер фильма",10.0,4.0,68.0,rock,мумий_тролль,7632.0,5.0,2014-06-10
"""STEREO"" (LIVE) Сергей Лазарев (SERGEY)",30.0,10.0,541.0,popsa,лазарев,117765.0,26.0,2009-07-23
"""Shattered dreams"" Сергей Лазарев (SERGEY)",57.0,28.0,961.0,popsa,лазарев,109955.0,35.0,2009-05-03
"""Tv or radio"" Сергей Лазарев (SERGEY)",627.0,157.0,3714.0,popsa,лазарев,634676.0,277.0,2007-09-25
"""You Are The Only One"" - Sergey Lazarev /MadWalk Fashion Music Show",156.0,96.0,2203.0,popsa,лазарев,165878.0,101.0,2016-04-23
"""Аве Мария"" Весь зал плакал. Вика 11 лет",3865.0,8603.0,47974.0,classic,classical_channel,10674427.0,1568.0,2011-12-26
"""Антоха МС - Советы для молодожёнов /2017/""",11.0,12.0,288.0,indi,антоха_мс,8316.0,10.0,2017-10-02
"""Большая семья"" Игоря Крутого - часть 1",0.0,9.0,44.0,estrada,николаев,50344.0,,2010-11-06
"""Большая семья"" Игоря Крутого - часть 2",1.0,1.0,27.0,estrada,николаев,23952.0,1.0,2010-11-06
"""Большая семья"" Игоря Крутого - часть 3",0.0,10.0,79.0,estrada,николаев,59858.0,,2010-11-06
"""Большая семья"" Игоря Крутого - часть 4",1.0,2.0,24.0,estrada,николаев,20127.0,,2010-11-06
"""Большая семья"" Игоря Крутого - часть 6",1.0,7.0,74.0,estrada,николаев,24009.0,,2010-11-06
"""Большая семья"" Игоря Крутого - часть 7",0.0,2.0,20.0,estrada,николаев,15374.0,,2010-11-06
"""Большая семья"" Игоря Крутого - часть 8",10.0,27.0,196.0,estrada,николаев,58941.0,,2010-11-06
"""Большая семья"" Игоря Крутого - часть 9",2.0,5.0,48.0,estrada,николаев,59618.0,1.0,2010-11-06
"""Большая семья"" Игоря Николаева  - часть 2",3.0,36.0,169.0,estrada,николаев,57176.0,3.0,2011-06-13
"""Большая семья"" Игоря Николаева - часть 1",1.0,77.0,327.0,estrada,николаев,176854.0,1.0,2011-06-12
"""Большая семья"" Игоря Николаева - часть 3",15.0,104.0,447.0,estrada,николаев,113002.0,1.0,2011-06-13
"""В теме"" на Ю: НЮША",1.0,5.0,30.0,popsa,нюша,6639.0,1.0,2012-11-24
"""В теме"" на Ю: НЮША любимый артист портала Woman.ru",7.0,9.0,138.0,popsa,нюша,20575.0,,2013-06-12
"""ВИА Гра. Тайны производства"" (""Моя правда"" на ""СТБ"")",16.0,10.0,52.0,popsa,виа_гра,53248.0,12.0,2011-10-10
"""ВОИН ДУМА""",4.0,0.0,49.0,rock,король_и_шут,1950.0,,2008-09-29
"""Вечерний Ургант"" Валерия в гостях у Ивана Урганта.",3.0,,,estrada,валерия,1993.0,3.0,2015-12-17
"""Виктор Цой. 50 лет"" Кукрыниксы - Печаль, Кончится лето...",2.0,4.0,65.0,rock,кукрыниксы,9986.0,2.0,2012-10-06
"""Владимирский Централ"" песня под гитару",24.0,2.0,156.0,shanson,михаил_круг,8489.0,10.0,2015-04-23
"""Всё, что было"". Начало.",23.0,5.0,171.0,rock,ария,11168.0,21.0,2012-10-06
"""Где ты"" [Москва, 2012г.]",5.0,3.0,79.0,shanson,ирина_круг,11124.0,5.0,2013-10-02
"""Глаза - убийцы"". Первые впечатления",3.0,11.0,32.0,popsa,барских,6845.0,16.0,2011-05-27
"""Глаза - убийцы"". Первые впечатления",4.0,13.0,7.0,popsa,барских,2657.0,16.0,2011-05-26
"""Глаза - убийцы"". Первые впечатления",11.0,40.0,42.0,popsa,барских,11713.0,16.0,2011-05-26
"""Глаза - убийцы"". Первые впечатления",1.0,10.0,23.0,popsa,барских,5621.0,16.0,2011-05-26
"""Глаза - убийцы"". Первые впечатления",5.0,13.0,46.0,popsa,барских,7316.0,16.0,2011-05-26
"""Говорим и показываем"". Бенефис ВАЛЕРИИ! НТВ 2012",4.0,1.0,56.0,estrada,валерия,12013.0,4.0,2012-04-18
"""Горыгоры"" - вторая песня, записанная на съемках ""Вечернего Урганта""",2.0,1.0,55.0,rock,арбенина,3145.0,,2013-11-28
